product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,size_category,weight_category,shipping_type
PROD_000563,Office,53,708,4,1590,72,8,68,39168,Large,Medium,Standard
PROD_000617,Food,48,158,5,10043,19,13,42,10374,Large,Heavy,Special Handling
PROD_000631,Automotive,50,501,3,28972,67,28,47,88172,Large,Heavy,Special Handling
PROD_000670,Health,26,464,2,13395,97,48,67,311952,Large,Heavy,Special Handling
PROD_000679,Garden,28,128,5,4331,54,9,26,12636,Large,Heavy,Standard
PROD_000685,Fashion,38,715,2,735,69,26,68,121992,Large,Medium,Standard
PROD_000735,Automotive,36,880,1,20300,70,12,52,43680,Large,Heavy,Special Handling
PROD_000753,Home_appliances,20,841,6,18252,24,48,47,54144,Large,Heavy,Special Handling
PROD_000783,Fashion,62,477,5,18576,15,21,23,7245,Medium,Heavy,Special Handling
PROD_000785,Fashion,46,512,4,1523,100,39,24,93600,Large,Medium,Standard
PROD_000788,Health,32,526,1,10794,27,35,60,56700,Large,Heavy,Special Handling
PROD_000790,Home_appliances,20,248,2,26289,43,49,29,61103,Large,Heavy,Special Handling
PROD_000792,Sports,49,178,3,12125,15,19,19,5415,Medium,Heavy,Special Handling
PROD_000798,Music,44,773,6,19736,28,24,72,48384,Large,Heavy,Special Handling
PROD_000800,Electronics,34,368,1,9304,21,17,18,6426,Medium,Heavy,Special Handling
PROD_000811,Books,67,729,3,3015,33,45,61,90585,Large,Heavy,Standard
PROD_000841,Computers,65,224,4,4564,53,6,60,19080,Large,Heavy,Standard
PROD_000847,Office,57,254,3,10656,26,43,17,19006,Large,Heavy,Special Handling
PROD_000854,Music,56,739,1,25140,97,48,61,284016,Large,Heavy,Special Handling
PROD_000886,Electronics,67,620,6,4889,83,15,42,52290,Large,Heavy,Standard
PROD_000895,Fashion,63,826,1,700,56,10,14,7840,Medium,Medium,Standard
PROD_000904,Office,63,412,1,8250,36,5,42,7560,Medium,Heavy,Special Handling
PROD_000939,Books,52,767,1,17994,43,20,69,59340,Large,Heavy,Special Handling
PROD_000942,Health,37,420,4,22513,92,47,42,181608,Large,Heavy,Special Handling
PROD_000943,Music,39,383,1,27952,15,33,61,30195,Large,Heavy,Special Handling
PROD_000961,Sports,28,231,2,8876,71,36,19,48564,Large,Heavy,Special Handling
PROD_000973,Automotive,41,152,2,13465,37,50,52,96200,Large,Heavy,Special Handling
PROD_001011,Fashion,45,910,1,2876,83,43,20,71380,Large,Heavy,Standard
PROD_001021,Garden,38,678,4,5456,97,45,39,170235,Large,Heavy,Special Handling
PROD_001029,Health,70,796,3,3144,34,20,68,46240,Large,Heavy,Standard
PROD_001044,Music,62,564,6,22855,35,46,45,72450,Large,Heavy,Special Handling
PROD_001046,Beauty,29,454,5,16331,94,13,11,13442,Large,Heavy,Special Handling
PROD_001047,Toys,41,403,5,27174,30,41,76,93480,Large,Heavy,Special Handling
PROD_001081,Sports,67,263,1,6915,65,29,76,143260,Large,Heavy,Special Handling
PROD_001082,Books,38,229,4,28696,71,39,59,163371,Large,Heavy,Special Handling
PROD_001089,Music,48,611,6,23491,14,8,42,4704,Medium,Heavy,Special Handling
PROD_001099,Beauty,52,787,3,24549,95,32,73,221920,Large,Heavy,Special Handling
PROD_001116,Food,43,996,3,29511,19,40,38,28880,Large,Heavy,Special Handling
PROD_001122,Electronics,33,141,6,4540,70,45,59,185850,Large,Heavy,Standard
PROD_001130,Beauty,50,722,3,3001,27,46,40,49680,Large,Heavy,Standard
PROD_001143,Fashion,48,255,2,25015,65,45,61,178425,Large,Heavy,Special Handling
PROD_001200,Garden,48,309,3,10128,69,42,46,133308,Large,Heavy,Special Handling
PROD_001204,Electronics,25,555,1,15341,81,11,26,23166,Large,Heavy,Special Handling
PROD_001207,Food,38,192,6,28057,46,16,41,30176,Large,Heavy,Special Handling
PROD_001212,Office,50,198,1,11295,76,40,26,79040,Large,Heavy,Special Handling
PROD_001216,Computers,45,363,3,12611,93,10,23,21390,Large,Heavy,Special Handling
PROD_001225,Books,43,836,2,18099,37,41,56,84952,Large,Heavy,Special Handling
PROD_001241,Computers,43,553,2,8014,11,44,14,6776,Medium,Heavy,Special Handling
PROD_001245,Toys,65,671,2,15900,91,41,13,48503,Large,Heavy,Special Handling
PROD_001266,Music,33,793,2,2731,98,28,12,32928,Large,Heavy,Standard
PROD_001268,Toys,43,898,1,22412,97,6,26,15132,Large,Heavy,Special Handling
PROD_001285,Electronics,58,110,3,18080,76,32,60,145920,Large,Heavy,Special Handling
PROD_001294,Office,69,905,6,10768,26,37,13,12506,Large,Heavy,Special Handling
PROD_001305,Food,54,146,2,10917,49,31,47,71393,Large,Heavy,Special Handling
PROD_001312,Health,39,225,3,17176,87,19,37,61161,Large,Heavy,Special Handling
PROD_001323,Automotive,33,824,2,24715,81,50,56,226800,Large,Heavy,Special Handling
PROD_001336,Automotive,66,238,1,14163,29,19,24,13224,Large,Heavy,Special Handling
PROD_001361,Music,51,863,4,27019,97,23,15,33465,Large,Heavy,Special Handling
PROD_001363,Toys,29,380,2,6754,53,14,53,39326,Large,Heavy,Special Handling
PROD_001387,Furniture,45,584,4,12541,58,50,15,43500,Large,Heavy,Special Handling
PROD_001402,Office,53,636,5,3125,70,37,61,157990,Large,Heavy,Standard
PROD_001424,Fashion,25,805,4,23909,53,42,54,120204,Large,Heavy,Special Handling
PROD_001430,Fashion,33,953,3,3026,72,21,19,28728,Large,Heavy,Standard
PROD_001468,Health,37,189,3,142,59,18,32,33984,Large,Light,Standard
PROD_001499,Office,57,320,1,6650,33,45,14,20790,Large,Heavy,Special Handling
PROD_001549,Music,24,784,6,13870,14,38,76,40432,Large,Heavy,Special Handling
PROD_001565,Beauty,59,680,2,10294,59,38,67,150214,Large,Heavy,Special Handling
PROD_001569,Health,70,697,1,27850,81,41,58,192618,Large,Heavy,Special Handling
PROD_001583,Toys,32,357,3,5918,15,8,47,5640,Medium,Heavy,Special Handling
PROD_001584,Home_appliances,25,801,5,14232,66,21,68,94248,Large,Heavy,Special Handling
PROD_001588,Toys,55,427,1,17906,21,45,43,40635,Large,Heavy,Special Handling
PROD_001597,Health,38,320,3,29708,74,17,15,18870,Large,Heavy,Special Handling
PROD_001625,Electronics,67,376,4,2114,24,16,53,20352,Large,Heavy,Standard
PROD_001631,Electronics,63,455,6,11997,85,10,58,49300,Large,Heavy,Special Handling
PROD_001651,Books,64,917,5,22573,24,42,31,31248,Large,Heavy,Special Handling
PROD_001687,Computers,60,729,4,20130,89,46,24,98256,Large,Heavy,Special Handling
PROD_001709,Home_appliances,25,933,5,28371,24,46,23,25392,Large,Heavy,Special Handling
PROD_001730,Electronics,54,817,4,16051,27,9,15,3645,Medium,Heavy,Special Handling
PROD_001732,Electronics,35,952,2,23003,14,28,19,7448,Medium,Heavy,Special Handling
PROD_001755,Health,42,851,5,421,52,6,42,13104,Large,Light,Standard
PROD_001772,Music,20,314,6,4306,12,22,34,8976,Medium,Heavy,Standard
PROD_001788,Furniture,57,773,4,25621,49,48,15,35280,Large,Heavy,Special Handling
PROD_001792,Music,39,715,2,25239,40,42,33,55440,Large,Heavy,Special Handling
PROD_001796,Food,62,385,2,1907,97,27,55,144045,Large,Medium,Standard
PROD_001876,Fashion,21,464,2,240,81,41,34,112914,Large,Light,Standard
PROD_001908,Beauty,56,317,1,14228,44,27,76,90288,Large,Heavy,Special Handling
PROD_001923,Music,66,921,4,26850,13,36,15,7020,Medium,Heavy,Special Handling
PROD_001947,Food,51,641,2,19540,81,37,72,215784,Large,Heavy,Special Handling
PROD_001950,Books,58,274,5,27194,78,34,39,103428,Large,Heavy,Special Handling
PROD_001982,Electronics,68,863,5,7058,41,16,75,49200,Large,Heavy,Special Handling
PROD_002013,Sports,38,380,4,20996,37,19,33,23199,Large,Heavy,Special Handling
PROD_002030,Automotive,45,236,5,8629,13,34,65,28730,Large,Heavy,Special Handling
PROD_002040,Sports,69,246,3,14777,30,36,41,44280,Large,Heavy,Special Handling
PROD_002043,Health,63,796,2,8400,91,21,65,124215,Large,Heavy,Special Handling
PROD_002061,Home_appliances,22,953,1,6094,89,27,12,28836,Large,Heavy,Special Handling
PROD_002063,Books,56,814,6,550,10,49,10,4900,Medium,Medium,Standard
PROD_002076,Computers,30,190,2,3760,22,32,69,48576,Large,Heavy,Standard
PROD_002090,Beauty,62,401,1,11232,75,19,51,72675,Large,Heavy,Special Handling
PROD_002134,Home_appliances,36,551,6,6794,51,18,77,70686,Large,Heavy,Special Handling
PROD_002137,Garden,24,916,5,7316,45,35,32,50400,Large,Heavy,Special Handling
PROD_002144,Health,58,741,4,8041,67,24,23,36984,Large,Heavy,Special Handling
PROD_002159,Furniture,40,775,4,22956,65,18,72,84240,Large,Heavy,Special Handling
PROD_002160,Office,68,723,5,5684,85,19,13,20995,Large,Heavy,Special Handling
PROD_002176,Furniture,36,673,6,26278,55,14,52,40040,Large,Heavy,Special Handling
PROD_002182,Home_appliances,23,939,2,21883,76,26,44,86944,Large,Heavy,Special Handling
PROD_002187,Home_appliances,59,391,4,2404,49,13,65,41405,Large,Heavy,Standard
PROD_002188,Office,30,122,3,2051,75,27,28,56700,Large,Heavy,Standard
PROD_002189,Electronics,45,909,2,6800,43,31,19,25327,Large,Heavy,Special Handling
PROD_002228,Garden,35,208,4,3302,38,47,48,85728,Large,Heavy,Standard
PROD_002243,Food,50,684,5,20661,87,31,35,94395,Large,Heavy,Special Handling
PROD_002255,Sports,67,263,4,6759,12,18,26,5616,Medium,Heavy,Special Handling
PROD_002286,Books,20,219,5,25665,46,10,29,13340,Large,Heavy,Special Handling
PROD_002297,Automotive,35,177,4,8333,86,5,53,22790,Large,Heavy,Special Handling
PROD_002299,Health,42,629,5,14149,78,12,17,15912,Large,Heavy,Special Handling
PROD_002300,Music,30,438,2,3197,27,42,32,36288,Large,Heavy,Standard
PROD_002314,Fashion,31,421,5,14795,89,44,14,54824,Large,Heavy,Special Handling
PROD_002323,Home_appliances,20,583,1,11511,49,40,20,39200,Large,Heavy,Special Handling
PROD_002326,Furniture,24,707,2,23179,95,40,80,304000,Large,Heavy,Special Handling
PROD_002345,Sports,39,738,3,4635,45,25,67,75375,Large,Heavy,Standard
PROD_002353,Food,68,554,6,6175,62,38,22,51832,Large,Heavy,Special Handling
PROD_002374,Garden,25,543,2,8427,93,50,38,176700,Large,Heavy,Special Handling
PROD_002408,Garden,36,940,1,9520,81,31,41,102951,Large,Heavy,Special Handling
PROD_002462,Garden,40,382,4,24111,56,37,69,142968,Large,Heavy,Special Handling
PROD_002465,Toys,61,831,5,1906,65,49,73,232505,Large,Medium,Standard
PROD_002493,Toys,63,700,5,27538,99,39,65,250965,Large,Heavy,Special Handling
PROD_002513,Books,65,326,3,21123,76,47,65,232180,Large,Heavy,Special Handling
PROD_002515,Fashion,26,520,6,13693,82,24,63,123984,Large,Heavy,Special Handling
PROD_002533,Automotive,35,419,1,17076,38,28,44,46816,Large,Heavy,Special Handling
PROD_002562,Toys,64,740,6,29080,85,40,41,139400,Large,Heavy,Special Handling
PROD_002580,Beauty,57,885,1,18615,99,30,66,196020,Large,Heavy,Special Handling
PROD_002629,Beauty,51,260,4,17344,95,24,73,166440,Large,Heavy,Special Handling
PROD_002632,Toys,66,800,1,17346,79,8,79,49928,Large,Heavy,Special Handling
PROD_002660,Beauty,42,857,1,14457,39,29,51,57681,Large,Heavy,Special Handling
PROD_002666,Health,30,615,2,24028,100,12,61,73200,Large,Heavy,Special Handling
PROD_002667,Computers,20,637,4,18454,72,45,51,165240,Large,Heavy,Special Handling
PROD_002683,Sports,67,501,3,20369,90,35,28,88200,Large,Heavy,Special Handling
PROD_002684,Books,53,322,5,12255,14,34,13,6188,Medium,Heavy,Special Handling
PROD_002688,Music,53,441,2,14838,82,40,29,95120,Large,Heavy,Special Handling
PROD_002727,Sports,46,210,2,14562,61,42,74,189588,Large,Heavy,Special Handling
PROD_002747,Music,50,447,1,12151,61,39,74,176046,Large,Heavy,Special Handling
PROD_002805,Books,34,336,1,12523,22,23,16,8096,Medium,Heavy,Special Handling
PROD_002813,Garden,21,253,6,6185,77,29,71,158543,Large,Heavy,Special Handling
PROD_002841,Computers,64,532,4,10539,28,9,73,18396,Large,Heavy,Special Handling
PROD_002844,Garden,38,205,1,22743,37,35,23,29785,Large,Heavy,Special Handling
PROD_002879,Furniture,29,327,5,23747,90,11,64,63360,Large,Heavy,Special Handling
PROD_002902,Furniture,57,666,2,11261,75,36,55,148500,Large,Heavy,Special Handling
PROD_002903,Sports,49,171,3,14064,47,11,51,26367,Large,Heavy,Special Handling
PROD_002915,Computers,70,428,1,25258,64,26,27,44928,Large,Heavy,Special Handling
PROD_002931,Beauty,59,573,4,17415,37,23,78,66378,Large,Heavy,Special Handling
PROD_002934,Home_appliances,40,554,4,2083,20,17,77,26180,Large,Heavy,Standard
PROD_002936,Fashion,30,783,1,26072,59,27,32,50976,Large,Heavy,Special Handling
PROD_002942,Health,30,817,2,4085,84,34,61,174216,Large,Heavy,Standard
PROD_002950,Computers,56,413,1,29233,10,41,49,20090,Large,Heavy,Special Handling
PROD_002960,Music,36,229,3,19002,94,46,36,155664,Large,Heavy,Special Handling
PROD_002985,Electronics,26,497,5,2523,54,32,70,120960,Large,Heavy,Standard
PROD_002999,Food,39,494,2,15633,71,20,49,69580,Large,Heavy,Special Handling
PROD_000011,Office,45,730,5,5366,91,44,60,240240,Large,Heavy,Special Handling
PROD_000018,Home_appliances,51,676,4,589,30,22,31,20460,Large,Medium,Standard
PROD_000023,Books,31,806,5,19763,21,33,30,20790,Large,Heavy,Special Handling
PROD_000030,Garden,57,149,1,18989,40,46,41,75440,Large,Heavy,Special Handling
PROD_000032,Automotive,23,102,1,21272,12,16,53,10176,Large,Heavy,Special Handling
PROD_000051,Sports,21,141,1,24559,41,34,53,73882,Large,Heavy,Special Handling
PROD_000056,Garden,55,306,6,16383,62,26,19,30628,Large,Heavy,Special Handling
PROD_000074,Fashion,53,398,6,21577,16,34,13,7072,Medium,Heavy,Special Handling
PROD_000097,Toys,52,151,2,1478,89,45,11,44055,Large,Medium,Standard
PROD_000106,Toys,54,312,3,6312,42,27,79,89586,Large,Heavy,Special Handling
PROD_000136,Electronics,52,133,2,13250,54,40,36,77760,Large,Heavy,Special Handling
PROD_000139,Food,65,311,3,16221,21,43,33,29799,Large,Heavy,Special Handling
PROD_000228,Books,49,304,2,14592,42,29,22,26796,Large,Heavy,Special Handling
PROD_000349,Books,57,779,4,19759,32,15,54,25920,Large,Heavy,Special Handling
PROD_000362,Sports,56,537,5,28726,64,23,51,75072,Large,Heavy,Special Handling
PROD_000367,Garden,44,628,4,14180,67,42,78,219492,Large,Heavy,Special Handling
PROD_000381,Music,63,979,2,17759,51,50,72,183600,Large,Heavy,Special Handling
PROD_000403,Toys,25,415,5,14686,54,17,48,44064,Large,Heavy,Special Handling
PROD_000418,Beauty,66,572,6,19221,62,30,59,109740,Large,Heavy,Special Handling
PROD_000420,Toys,45,451,5,19307,57,6,77,26334,Large,Heavy,Special Handling
PROD_000472,Beauty,25,749,5,23977,84,37,52,161616,Large,Heavy,Special Handling
PROD_000500,Food,44,800,2,14142,66,25,25,41250,Large,Heavy,Special Handling
PROD_000504,Computers,27,726,4,14537,77,43,64,211904,Large,Heavy,Special Handling
PROD_000543,Garden,66,749,4,10225,22,30,78,51480,Large,Heavy,Special Handling
PROD_000546,Food,21,954,6,24671,84,27,72,163296,Large,Heavy,Special Handling
PROD_000565,Sports,42,939,1,24783,34,44,10,14960,Large,Heavy,Special Handling
PROD_000580,Beauty,38,178,1,17164,22,49,78,84084,Large,Heavy,Special Handling
PROD_000596,Books,39,770,3,26178,61,21,64,81984,Large,Heavy,Special Handling
PROD_000605,Office,28,899,3,5731,61,5,27,8235,Medium,Heavy,Special Handling
PROD_000610,Sports,40,971,1,15829,49,26,42,53508,Large,Heavy,Special Handling
PROD_000628,Fashion,42,496,1,28164,53,23,30,36570,Large,Heavy,Special Handling
PROD_000639,Automotive,43,579,1,24901,93,18,62,103788,Large,Heavy,Special Handling
PROD_000647,Books,59,452,6,4376,34,26,66,58344,Large,Heavy,Standard
PROD_000675,Music,36,443,4,19577,29,19,27,14877,Large,Heavy,Special Handling
PROD_000678,Toys,22,839,1,18630,65,36,71,166140,Large,Heavy,Special Handling
PROD_000695,Music,63,763,1,27458,30,44,16,21120,Large,Heavy,Special Handling
PROD_000709,Automotive,46,800,4,29971,98,35,71,243530,Large,Heavy,Special Handling
PROD_000725,Beauty,68,587,3,809,91,41,78,291018,Large,Medium,Standard
PROD_000741,Fashion,40,142,3,5141,17,25,59,25075,Large,Heavy,Special Handling
PROD_000755,Beauty,21,577,5,7416,13,39,38,19266,Large,Heavy,Special Handling
PROD_000774,Sports,20,307,3,8250,77,19,17,24871,Large,Heavy,Special Handling
PROD_000775,Electronics,21,694,1,9637,38,25,30,28500,Large,Heavy,Special Handling
PROD_000786,Music,31,322,5,4264,72,38,80,218880,Large,Heavy,Standard
PROD_000820,Computers,61,352,4,26580,23,6,16,2208,Medium,Heavy,Special Handling
PROD_000827,Beauty,34,337,2,21909,94,38,48,171456,Large,Heavy,Special Handling
PROD_000844,Electronics,26,403,6,20691,92,25,56,128800,Large,Heavy,Special Handling
PROD_000857,Garden,46,976,3,10487,63,9,27,15309,Large,Heavy,Special Handling
PROD_000858,Home_appliances,24,890,5,18022,27,13,12,4212,Medium,Heavy,Special Handling
PROD_000860,Furniture,44,164,6,20733,90,50,38,171000,Large,Heavy,Special Handling
PROD_000862,Automotive,35,533,5,6302,50,45,18,40500,Large,Heavy,Special Handling
PROD_000865,Toys,28,907,5,4988,91,30,68,185640,Large,Heavy,Standard
PROD_000885,Electronics,70,114,5,1507,56,30,41,68880,Large,Medium,Standard
PROD_000892,Furniture,36,949,6,2372,65,48,30,93600,Large,Heavy,Standard
PROD_000911,Automotive,56,822,4,3334,34,12,52,21216,Large,Heavy,Standard
PROD_000945,Beauty,61,337,3,25285,67,27,23,41607,Large,Heavy,Special Handling
PROD_000962,Beauty,47,911,5,10904,14,42,41,24108,Large,Heavy,Special Handling
PROD_000967,Automotive,35,778,5,3155,91,14,71,90454,Large,Heavy,Standard
PROD_000982,Home_appliances,22,157,2,19237,36,21,49,37044,Large,Heavy,Special Handling
PROD_000989,Food,34,768,4,14664,45,16,68,48960,Large,Heavy,Special Handling
PROD_000991,Office,54,648,4,25963,31,40,28,34720,Large,Heavy,Special Handling
PROD_001004,Garden,66,172,6,21199,58,21,25,30450,Large,Heavy,Special Handling
PROD_001007,Electronics,70,306,1,22709,92,30,58,160080,Large,Heavy,Special Handling
PROD_001010,Home_appliances,55,801,3,7906,57,48,44,120384,Large,Heavy,Special Handling
PROD_001012,Automotive,55,797,3,18324,12,38,66,30096,Large,Heavy,Special Handling
PROD_001024,Garden,49,790,6,21528,94,26,39,95316,Large,Heavy,Special Handling
PROD_001037,Furniture,36,371,3,978,82,44,65,234520,Large,Medium,Standard
PROD_001042,Garden,66,429,5,7386,31,9,41,11439,Large,Heavy,Special Handling
PROD_001061,Fashion,29,960,3,27673,77,23,47,83237,Large,Heavy,Special Handling
PROD_001068,Health,61,832,4,2308,78,31,30,72540,Large,Heavy,Standard
PROD_001070,Home_appliances,60,178,2,17912,99,5,72,35640,Large,Heavy,Special Handling
PROD_001088,Furniture,35,450,4,5784,34,46,26,40664,Large,Heavy,Special Handling
PROD_001096,Fashion,46,588,5,17710,18,28,63,31752,Large,Heavy,Special Handling
PROD_001101,Office,30,390,5,19835,52,27,78,109512,Large,Heavy,Special Handling
PROD_001121,Music,43,603,3,23382,47,25,29,34075,Large,Heavy,Special Handling
PROD_001177,Office,44,170,1,13668,78,29,25,56550,Large,Heavy,Special Handling
PROD_001202,Music,46,828,2,18148,39,15,64,37440,Large,Heavy,Special Handling
PROD_001215,Office,56,223,1,13748,25,9,48,10800,Large,Heavy,Special Handling
PROD_001221,Furniture,20,157,4,18460,81,12,28,27216,Large,Heavy,Special Handling
PROD_001317,Fashion,54,194,3,18415,17,29,21,10353,Large,Heavy,Special Handling
PROD_001318,Automotive,38,722,5,25355,84,12,34,34272,Large,Heavy,Special Handling
PROD_001350,Fashion,39,246,6,20372,94,6,47,26508,Large,Heavy,Special Handling
PROD_001353,Health,44,719,1,28874,86,27,34,78948,Large,Heavy,Special Handling
PROD_001371,Computers,67,331,6,3671,45,49,19,41895,Large,Heavy,Standard
PROD_001396,Sports,24,709,5,27959,71,11,25,19525,Large,Heavy,Special Handling
PROD_001399,Health,22,864,2,26046,91,24,38,82992,Large,Heavy,Special Handling
PROD_001417,Garden,68,137,4,13236,94,30,14,39480,Large,Heavy,Special Handling
PROD_001435,Toys,39,638,1,10186,46,16,35,25760,Large,Heavy,Special Handling
PROD_001441,Automotive,56,490,4,21933,39,29,67,75777,Large,Heavy,Special Handling
PROD_001460,Electronics,69,473,2,14605,73,15,10,10950,Large,Heavy,Special Handling
PROD_001470,Books,43,628,2,28586,78,33,65,167310,Large,Heavy,Special Handling
PROD_001497,Sports,67,184,4,16236,76,25,74,140600,Large,Heavy,Special Handling
PROD_001512,Sports,53,467,4,24888,72,43,67,207432,Large,Heavy,Special Handling
PROD_001515,Food,30,597,2,28266,96,17,75,122400,Large,Heavy,Special Handling
PROD_001596,Office,31,459,5,20430,64,11,24,16896,Large,Heavy,Special Handling
PROD_001608,Fashion,20,107,3,29703,97,32,80,248320,Large,Heavy,Special Handling
PROD_001612,Health,70,292,5,26427,39,49,39,74529,Large,Heavy,Special Handling
PROD_001617,Health,41,743,6,10943,24,41,13,12792,Large,Heavy,Special Handling
PROD_001620,Automotive,34,294,3,12923,56,20,38,42560,Large,Heavy,Special Handling
PROD_001664,Sports,43,344,6,1331,37,45,19,31635,Large,Medium,Standard
PROD_001707,Garden,43,844,4,18083,31,41,17,21607,Large,Heavy,Special Handling
PROD_001726,Health,30,110,2,10360,41,21,30,25830,Large,Heavy,Special Handling
PROD_001747,Health,42,567,4,16633,63,50,63,198450,Large,Heavy,Special Handling
PROD_001805,Food,47,518,4,2781,76,31,42,98952,Large,Heavy,Standard
PROD_001810,Garden,38,329,1,15290,41,13,49,26117,Large,Heavy,Special Handling
PROD_001814,Computers,57,687,2,8656,61,41,30,75030,Large,Heavy,Special Handling
PROD_001819,Toys,58,182,4,1963,12,20,44,10560,Large,Medium,Standard
PROD_001827,Garden,39,371,2,21292,64,33,41,86592,Large,Heavy,Special Handling
PROD_001831,Office,29,523,6,2894,78,22,52,89232,Large,Heavy,Standard
PROD_001836,Food,23,810,2,22043,90,26,31,72540,Large,Heavy,Special Handling
PROD_001840,Home_appliances,37,820,6,15611,73,36,71,186588,Large,Heavy,Special Handling
PROD_001856,Books,25,905,4,19483,43,41,63,111069,Large,Heavy,Special Handling
PROD_001872,Fashion,22,112,2,12530,10,36,66,23760,Large,Heavy,Special Handling
PROD_001874,Office,53,494,5,21939,58,26,37,55796,Large,Heavy,Special Handling
PROD_001875,Music,51,169,3,29676,55,35,41,78925,Large,Heavy,Special Handling
PROD_001913,Health,23,953,2,21996,30,35,36,37800,Large,Heavy,Special Handling
PROD_001933,Office,66,718,5,16502,70,16,63,70560,Large,Heavy,Special Handling
PROD_001943,Office,47,494,4,28323,42,35,60,88200,Large,Heavy,Special Handling
PROD_001968,Food,43,956,1,16000,85,34,34,98260,Large,Heavy,Special Handling
PROD_001991,Computers,63,352,5,7215,83,13,44,47476,Large,Heavy,Special Handling
PROD_001995,Food,31,394,4,15604,34,18,18,11016,Large,Heavy,Special Handling
PROD_001998,Automotive,35,680,6,25905,56,25,69,96600,Large,Heavy,Special Handling
