order_id,payment_sequential,payment_type,payment_installments,payment_value,is_installment,payment_value_category,installment_category
ORD_0000454,1,Credit_card,3,1156.59,Yes,Premium Value,Short Term EMI
ORD_0000456,1,Debit_card,1,2518.06,No,Premium Value,Single Payment
ORD_0000472,1,Debit_card,2,1994.65,Yes,Premium Value,Short Term EMI
ORD_0000475,1,Credit_card,3,1791.08,Yes,Premium Value,Short Term EMI
ORD_0000477,1,Debit_card,1,496.33,No,Medium Value,Single Payment
ORD_0000509,1,Credit_card,1,2120.93,No,Premium Value,Single Payment
ORD_0000515,1,Voucher,6,2338.33,Yes,Premium Value,Medium Term EMI
ORD_0000554,1,Credit_card,1,2801.97,No,Premium Value,Single Payment
ORD_0000555,1,Credit_card,3,2634.54,Yes,Premium Value,Short Term EMI
ORD_0000563,1,Credit_card,6,836.5,Yes,High Value,Medium Term EMI
ORD_0000602,1,Credit_card,3,247.12,Yes,Medium Value,Short Term EMI
ORD_0000614,1,Credit_card,1,323.01,No,Medium Value,Single Payment
ORD_0000616,1,Credit_card,2,2937.68,Yes,Premium Value,Short Term EMI
ORD_0000642,1,Boleto,1,77.31,No,Low Value,Single Payment
ORD_0000650,1,Credit_card,6,125.96,Yes,Medium Value,Medium Term EMI
ORD_0000659,1,Credit_card,3,574.21,Yes,High Value,Short Term EMI
ORD_0000680,1,Debit_card,1,1480.58,No,Premium Value,Single Payment
ORD_0000687,1,Credit_card,6,1704.19,Yes,Premium Value,Medium Term EMI
ORD_0000715,2,Credit_card,3,37.38,Yes,Low Value,Short Term EMI
ORD_0000777,1,Debit_card,1,2905.49,No,Premium Value,Single Payment
ORD_0000783,1,Credit_card,3,1803.93,Yes,Premium Value,Short Term EMI
ORD_0000796,1,Boleto,2,556.59,Yes,High Value,Short Term EMI
ORD_0000803,2,Boleto,1,94.73,No,Low Value,Single Payment
ORD_0000834,1,Credit_card,1,1963.94,No,Premium Value,Single Payment
ORD_0000838,1,Credit_card,2,2685.54,Yes,Premium Value,Short Term EMI
ORD_0000855,1,Credit_card,3,2323.14,Yes,Premium Value,Short Term EMI
ORD_0000857,2,Debit_card,6,65.48,Yes,Low Value,Medium Term EMI
ORD_0000860,1,Debit_card,12,1927.87,Yes,Premium Value,Long Term EMI
ORD_0000921,2,Credit_card,2,94.38,Yes,Low Value,Short Term EMI
ORD_0000924,1,Credit_card,2,2548.05,Yes,Premium Value,Short Term EMI
ORD_0000927,1,Boleto,3,1191.42,Yes,Premium Value,Short Term EMI
ORD_0000928,1,Boleto,1,1617.75,No,Premium Value,Single Payment
ORD_0000932,1,Credit_card,2,1836.62,Yes,Premium Value,Short Term EMI
ORD_0000934,1,Debit_card,1,1137.05,No,Premium Value,Single Payment
ORD_0000955,1,Debit_card,3,2234.67,Yes,Premium Value,Short Term EMI
ORD_0000966,1,Credit_card,1,473.14,No,Medium Value,Single Payment
ORD_0000969,1,Debit_card,1,780.11,No,High Value,Single Payment
ORD_0000973,2,Voucher,6,30.5,Yes,Low Value,Medium Term EMI
ORD_0000984,1,Debit_card,12,77.89,Yes,Low Value,Long Term EMI
ORD_0000998,1,Credit_card,3,1568.81,Yes,Premium Value,Short Term EMI
ORD_0001000,1,Credit_card,12,2376.06,Yes,Premium Value,Long Term EMI
ORD_0001026,1,Credit_card,1,2225.96,No,Premium Value,Single Payment
ORD_0001052,1,Voucher,1,759.69,No,High Value,Single Payment
ORD_0001058,1,Credit_card,2,567.69,Yes,High Value,Short Term EMI
ORD_0001059,1,Boleto,12,2029.06,Yes,Premium Value,Long Term EMI
ORD_0001061,1,Credit_card,12,1138.91,Yes,Premium Value,Long Term EMI
ORD_0001076,1,Credit_card,3,964.92,Yes,High Value,Short Term EMI
ORD_0001077,1,Boleto,6,2657.04,Yes,Premium Value,Medium Term EMI
ORD_0001088,2,Credit_card,12,67.28,Yes,Low Value,Long Term EMI
ORD_0001112,1,Credit_card,1,2104.56,No,Premium Value,Single Payment
ORD_0001116,1,Credit_card,1,256.62,No,Medium Value,Single Payment
ORD_0001122,1,Voucher,1,2605.33,No,Premium Value,Single Payment
ORD_0001140,1,Credit_card,12,918.15,Yes,High Value,Long Term EMI
ORD_0001146,1,Debit_card,12,758.72,Yes,High Value,Long Term EMI
ORD_0001187,2,Credit_card,6,88.5,Yes,Low Value,Medium Term EMI
ORD_0001195,1,Credit_card,1,1203.64,No,Premium Value,Single Payment
ORD_0001201,1,Boleto,1,941.46,No,High Value,Single Payment
ORD_0001202,1,Boleto,1,647.06,No,High Value,Single Payment
ORD_0001204,1,Boleto,1,910.56,No,High Value,Single Payment
ORD_0001215,1,Boleto,1,1620.53,No,Premium Value,Single Payment
ORD_0001221,1,Debit_card,2,2544.07,Yes,Premium Value,Short Term EMI
ORD_0001241,1,Credit_card,12,661.69,Yes,High Value,Long Term EMI
ORD_0001249,1,Debit_card,6,1492.72,Yes,Premium Value,Medium Term EMI
ORD_0001259,1,Credit_card,2,772.34,Yes,High Value,Short Term EMI
ORD_0001302,1,Credit_card,1,2442.99,No,Premium Value,Single Payment
ORD_0001315,1,Voucher,6,1501.61,Yes,Premium Value,Medium Term EMI
ORD_0001316,1,Credit_card,1,2949.64,No,Premium Value,Single Payment
ORD_0001348,1,Credit_card,1,273.3,No,Medium Value,Single Payment
ORD_0001358,1,Credit_card,3,1382.44,Yes,Premium Value,Short Term EMI
ORD_0001381,1,Voucher,1,2915.52,No,Premium Value,Single Payment
ORD_0001410,1,Credit_card,12,1308.2,Yes,Premium Value,Long Term EMI
ORD_0001415,1,Credit_card,6,1492.26,Yes,Premium Value,Medium Term EMI
ORD_0001465,1,Voucher,3,2713.5,Yes,Premium Value,Short Term EMI
ORD_0001475,1,Voucher,1,1431.15,No,Premium Value,Single Payment
ORD_0001476,1,Credit_card,3,1587.9,Yes,Premium Value,Short Term EMI
ORD_0001483,2,Credit_card,1,83.59,No,Low Value,Single Payment
ORD_0001489,1,Boleto,1,1829.57,No,Premium Value,Single Payment
ORD_0001503,1,Boleto,2,2345.96,Yes,Premium Value,Short Term EMI
ORD_0001512,1,Voucher,6,2008.51,Yes,Premium Value,Medium Term EMI
ORD_0001516,1,Credit_card,6,1686.85,Yes,Premium Value,Medium Term EMI
ORD_0001517,1,Voucher,2,2239.59,Yes,Premium Value,Short Term EMI
ORD_0001545,1,Voucher,2,424.14,Yes,Medium Value,Short Term EMI
ORD_0001547,1,Boleto,3,2856.05,Yes,Premium Value,Short Term EMI
ORD_0001567,1,Debit_card,6,2717.87,Yes,Premium Value,Medium Term EMI
ORD_0001577,1,Boleto,6,1505.8,Yes,Premium Value,Medium Term EMI
ORD_0001589,1,Credit_card,2,2697.72,Yes,Premium Value,Short Term EMI
ORD_0001627,1,Credit_card,1,2204.59,No,Premium Value,Single Payment
ORD_0001640,1,Debit_card,1,2334.4,No,Premium Value,Single Payment
ORD_0001649,1,Credit_card,1,648.81,No,High Value,Single Payment
ORD_0001664,1,Voucher,2,1546.13,Yes,Premium Value,Short Term EMI
ORD_0001666,1,Credit_card,1,2183.73,No,Premium Value,Single Payment
ORD_0001687,2,Voucher,12,24.61,Yes,Low Value,Long Term EMI
ORD_0001712,1,Credit_card,6,1302.89,Yes,Premium Value,Medium Term EMI
ORD_0001716,2,Voucher,1,40.27,No,Low Value,Single Payment
ORD_0001742,1,Boleto,1,657.19,No,High Value,Single Payment
ORD_0001751,1,Credit_card,3,888.83,Yes,High Value,Short Term EMI
ORD_0001756,1,Credit_card,3,1314.51,Yes,Premium Value,Short Term EMI
ORD_0001759,1,Credit_card,6,2696.32,Yes,Premium Value,Medium Term EMI
ORD_0001759,2,Debit_card,1,22.14,No,Low Value,Single Payment
ORD_0001765,1,Credit_card,3,2853.6,Yes,Premium Value,Short Term EMI
ORD_0001797,1,Debit_card,3,1549.93,Yes,Premium Value,Short Term EMI
ORD_0001799,1,Boleto,2,1327.19,Yes,Premium Value,Short Term EMI
ORD_0001801,2,Credit_card,1,29.26,No,Low Value,Single Payment
ORD_0001813,1,Debit_card,12,838.91,Yes,High Value,Long Term EMI
ORD_0001823,1,Credit_card,12,1712.37,Yes,Premium Value,Long Term EMI
ORD_0001828,1,Boleto,3,223.24,Yes,Medium Value,Short Term EMI
ORD_0001837,1,Voucher,1,457.83,No,Medium Value,Single Payment
ORD_0001862,1,Voucher,12,934.05,Yes,High Value,Long Term EMI
ORD_0001869,1,Credit_card,1,1717.44,No,Premium Value,Single Payment
ORD_0001871,1,Voucher,6,571.36,Yes,High Value,Medium Term EMI
ORD_0001882,1,Credit_card,12,708.73,Yes,High Value,Long Term EMI
ORD_0001886,1,Credit_card,3,1314.62,Yes,Premium Value,Short Term EMI
ORD_0001895,1,Debit_card,6,846.33,Yes,High Value,Medium Term EMI
ORD_0001904,1,Boleto,6,904.99,Yes,High Value,Medium Term EMI
ORD_0001908,1,Credit_card,6,1994.59,Yes,Premium Value,Medium Term EMI
ORD_0001998,1,Credit_card,3,2331.41,Yes,Premium Value,Short Term EMI
ORD_0001999,1,Boleto,1,488,No,Medium Value,Single Payment
ORD_0002003,1,Boleto,1,2156.7,No,Premium Value,Single Payment
ORD_0002008,1,Boleto,6,1376.39,Yes,Premium Value,Medium Term EMI
ORD_0002010,1,Boleto,6,192,Yes,Medium Value,Medium Term EMI
ORD_0002014,1,Voucher,2,304.35,Yes,Medium Value,Short Term EMI
ORD_0002016,1,Credit_card,3,1779.39,Yes,Premium Value,Short Term EMI
ORD_0002030,1,Voucher,3,2376.68,Yes,Premium Value,Short Term EMI
ORD_0002051,1,Boleto,1,2317.76,No,Premium Value,Single Payment
ORD_0002063,1,Credit_card,6,2111.91,Yes,Premium Value,Medium Term EMI
ORD_0002109,1,Debit_card,1,1575.43,No,Premium Value,Single Payment
ORD_0002118,1,Debit_card,12,1846.35,Yes,Premium Value,Long Term EMI
ORD_0002150,1,Voucher,1,1621.44,No,Premium Value,Single Payment
ORD_0002169,2,Voucher,1,22.04,No,Low Value,Single Payment
ORD_0002208,1,Credit_card,12,2606.23,Yes,Premium Value,Long Term EMI
ORD_0002226,1,Credit_card,6,1993.91,Yes,Premium Value,Medium Term EMI
ORD_0002243,1,Credit_card,1,639.23,No,High Value,Single Payment
ORD_0002301,1,Debit_card,3,2278.18,Yes,Premium Value,Short Term EMI
ORD_0002313,1,Credit_card,12,1017.71,Yes,Premium Value,Long Term EMI
ORD_0002344,1,Credit_card,6,2763.79,Yes,Premium Value,Medium Term EMI
ORD_0002393,1,Credit_card,1,788.15,No,High Value,Single Payment
ORD_0002426,2,Voucher,6,18.36,Yes,Low Value,Medium Term EMI
ORD_0002459,1,Credit_card,3,46.09,Yes,Low Value,Short Term EMI
ORD_0002471,1,Debit_card,2,501.95,Yes,High Value,Short Term EMI
ORD_0002472,1,Debit_card,1,2140.02,No,Premium Value,Single Payment
ORD_0002496,1,Credit_card,1,1658.98,No,Premium Value,Single Payment
ORD_0002525,2,Credit_card,6,67.75,Yes,Low Value,Medium Term EMI
ORD_0002527,1,Credit_card,1,1601.57,No,Premium Value,Single Payment
ORD_0002546,2,Credit_card,1,68.64,No,Low Value,Single Payment
ORD_0002559,2,Voucher,1,95.82,No,Low Value,Single Payment
ORD_0002566,1,Credit_card,3,391.98,Yes,Medium Value,Short Term EMI
ORD_0002632,2,Debit_card,3,31.18,Yes,Low Value,Short Term EMI
ORD_0002636,1,Debit_card,1,1370.53,No,Premium Value,Single Payment
ORD_0002653,1,Debit_card,6,2621.3,Yes,Premium Value,Medium Term EMI
ORD_0002664,1,Credit_card,1,2392.97,No,Premium Value,Single Payment
ORD_0002677,1,Debit_card,1,1888.59,No,Premium Value,Single Payment
ORD_0002679,1,Voucher,1,819.26,No,High Value,Single Payment
ORD_0002725,1,Credit_card,12,2104,Yes,Premium Value,Long Term EMI
ORD_0002730,1,Credit_card,6,2163.51,Yes,Premium Value,Medium Term EMI
ORD_0002744,1,Credit_card,1,909.86,No,High Value,Single Payment
ORD_0002746,1,Debit_card,3,2093.36,Yes,Premium Value,Short Term EMI
ORD_0002761,1,Credit_card,1,1899.7,No,Premium Value,Single Payment
ORD_0002771,1,Credit_card,1,674.02,No,High Value,Single Payment
ORD_0002781,1,Credit_card,6,1966.68,Yes,Premium Value,Medium Term EMI
ORD_0002784,1,Boleto,6,1320.39,Yes,Premium Value,Medium Term EMI
ORD_0002792,1,Boleto,6,2637.45,Yes,Premium Value,Medium Term EMI
ORD_0002800,2,Voucher,12,55.48,Yes,Low Value,Long Term EMI
ORD_0002812,1,Voucher,1,142.73,No,Medium Value,Single Payment
ORD_0002814,1,Credit_card,1,2555.27,No,Premium Value,Single Payment
ORD_0002822,1,Credit_card,3,2606.13,Yes,Premium Value,Short Term EMI
ORD_0002832,1,Credit_card,6,2729.71,Yes,Premium Value,Medium Term EMI
ORD_0002845,1,Credit_card,1,1270.03,No,Premium Value,Single Payment
ORD_0002856,1,Voucher,1,1325.78,No,Premium Value,Single Payment
ORD_0002873,1,Boleto,6,508.46,Yes,High Value,Medium Term EMI
ORD_0002884,1,Boleto,12,1487.23,Yes,Premium Value,Long Term EMI
ORD_0002922,1,Credit_card,2,2968.6,Yes,Premium Value,Short Term EMI
ORD_0002988,1,Credit_card,1,2843.01,No,Premium Value,Single Payment
ORD_0003021,1,Debit_card,1,1776.76,No,Premium Value,Single Payment
ORD_0003043,2,Boleto,6,51.58,Yes,Low Value,Medium Term EMI
ORD_0003049,1,Debit_card,1,2171.43,No,Premium Value,Single Payment
ORD_0003052,1,Debit_card,1,1545.74,No,Premium Value,Single Payment
ORD_0003063,1,Voucher,6,1673.77,Yes,Premium Value,Medium Term EMI
ORD_0003068,1,Credit_card,12,2860.58,Yes,Premium Value,Long Term EMI
ORD_0003074,2,Voucher,6,63.31,Yes,Low Value,Medium Term EMI
ORD_0003109,2,Credit_card,2,73.08,Yes,Low Value,Short Term EMI
ORD_0003112,1,Credit_card,12,1509.71,Yes,Premium Value,Long Term EMI
ORD_0003180,1,Voucher,1,620.95,No,High Value,Single Payment
ORD_0003187,1,Credit_card,2,713.16,Yes,High Value,Short Term EMI
ORD_0003191,1,Credit_card,12,2729.28,Yes,Premium Value,Long Term EMI
ORD_0003199,1,Voucher,6,1534.5,Yes,Premium Value,Medium Term EMI
ORD_0003213,1,Credit_card,6,2936.09,Yes,Premium Value,Medium Term EMI
ORD_0003231,1,Boleto,2,44.97,Yes,Low Value,Short Term EMI
ORD_0003233,1,Credit_card,2,2334.32,Yes,Premium Value,Short Term EMI
ORD_0003242,1,Voucher,2,329.66,Yes,Medium Value,Short Term EMI
ORD_0003282,1,Voucher,2,794.06,Yes,High Value,Short Term EMI
ORD_0003302,2,Credit_card,3,11.51,Yes,Low Value,Short Term EMI
ORD_0003328,1,Credit_card,12,1500.48,Yes,Premium Value,Long Term EMI
ORD_0003331,1,Credit_card,1,2391.62,No,Premium Value,Single Payment
ORD_0003353,1,Credit_card,6,863.61,Yes,High Value,Medium Term EMI
ORD_0003368,1,Voucher,2,2683.12,Yes,Premium Value,Short Term EMI
ORD_0003378,1,Voucher,6,1815.82,Yes,Premium Value,Medium Term EMI
ORD_0003450,1,Boleto,6,2285.66,Yes,Premium Value,Medium Term EMI
ORD_0003467,1,Debit_card,1,2100.78,No,Premium Value,Single Payment
ORD_0003518,1,Boleto,1,1473.49,No,Premium Value,Single Payment
ORD_0003541,1,Credit_card,3,831.78,Yes,High Value,Short Term EMI
ORD_0003559,1,Credit_card,1,2123.78,No,Premium Value,Single Payment
ORD_0003565,1,Credit_card,6,2817.39,Yes,Premium Value,Medium Term EMI
ORD_0003572,1,Debit_card,12,1318.63,Yes,Premium Value,Long Term EMI
ORD_0003581,1,Credit_card,1,1362.13,No,Premium Value,Single Payment
ORD_0003600,1,Debit_card,1,2862.49,No,Premium Value,Single Payment
ORD_0003601,1,Debit_card,2,2487.75,Yes,Premium Value,Short Term EMI
ORD_0003621,1,Credit_card,6,2766.09,Yes,Premium Value,Medium Term EMI
ORD_0003637,1,Voucher,1,1762.06,No,Premium Value,Single Payment
ORD_0003641,1,Credit_card,6,525.79,Yes,High Value,Medium Term EMI
ORD_0003656,1,Boleto,1,258.04,No,Medium Value,Single Payment
ORD_0003668,1,Credit_card,1,2148.78,No,Premium Value,Single Payment
ORD_0003675,1,Credit_card,6,1137.05,Yes,Premium Value,Medium Term EMI
ORD_0003678,1,Voucher,2,2591.78,Yes,Premium Value,Short Term EMI
ORD_0003687,1,Boleto,2,2136.46,Yes,Premium Value,Short Term EMI
ORD_0003697,2,Boleto,3,30.28,Yes,Low Value,Short Term EMI
ORD_0003716,1,Debit_card,1,1912.56,No,Premium Value,Single Payment
ORD_0003716,2,Credit_card,1,34.24,No,Low Value,Single Payment
ORD_0003726,1,Debit_card,6,1611.6,Yes,Premium Value,Medium Term EMI
ORD_0003738,1,Voucher,12,1415.14,Yes,Premium Value,Long Term EMI
ORD_0003749,1,Credit_card,12,1401.32,Yes,Premium Value,Long Term EMI
ORD_0003765,1,Debit_card,1,2830.26,No,Premium Value,Single Payment
ORD_0003768,1,Credit_card,1,2415.45,No,Premium Value,Single Payment
ORD_0003781,2,Voucher,12,12.92,Yes,Low Value,Long Term EMI
ORD_0003783,1,Voucher,3,923.03,Yes,High Value,Short Term EMI
ORD_0003821,1,Credit_card,12,1562.73,Yes,Premium Value,Long Term EMI
ORD_0003835,1,Credit_card,1,2921.01,No,Premium Value,Single Payment
ORD_0003857,1,Debit_card,12,632.87,Yes,High Value,Long Term EMI
ORD_0003866,1,Credit_card,12,662.49,Yes,High Value,Long Term EMI
ORD_0003867,1,Credit_card,1,343.8,No,Medium Value,Single Payment
ORD_0003873,1,Credit_card,6,2167.08,Yes,Premium Value,Medium Term EMI
ORD_0003876,1,Credit_card,12,1174.26,Yes,Premium Value,Long Term EMI
ORD_0003907,1,Debit_card,1,1881.69,No,Premium Value,Single Payment
ORD_0003929,1,Debit_card,1,1275.02,No,Premium Value,Single Payment
ORD_0003934,2,Voucher,1,71.34,No,Low Value,Single Payment
ORD_0003955,1,Credit_card,12,1872,Yes,Premium Value,Long Term EMI
ORD_0003982,1,Debit_card,3,2545.18,Yes,Premium Value,Short Term EMI
ORD_0003990,1,Debit_card,3,2061.64,Yes,Premium Value,Short Term EMI
ORD_0003993,1,Boleto,3,1700.16,Yes,Premium Value,Short Term EMI
ORD_0004015,1,Credit_card,1,1142.17,No,Premium Value,Single Payment
ORD_0004027,1,Voucher,1,729.31,No,High Value,Single Payment
ORD_0004029,1,Credit_card,1,542.34,No,High Value,Single Payment
ORD_0004031,1,Credit_card,3,1389.98,Yes,Premium Value,Short Term EMI
ORD_0004043,2,Credit_card,3,23.09,Yes,Low Value,Short Term EMI
ORD_0004054,2,Credit_card,1,46.69,No,Low Value,Single Payment
ORD_0004062,1,Credit_card,3,1263.49,Yes,Premium Value,Short Term EMI
ORD_0004074,1,Credit_card,1,72.2,No,Low Value,Single Payment
ORD_0004122,1,Credit_card,6,2324.13,Yes,Premium Value,Medium Term EMI
ORD_0004136,1,Credit_card,2,1889.71,Yes,Premium Value,Short Term EMI
ORD_0004147,1,Boleto,2,2493.82,Yes,Premium Value,Short Term EMI
ORD_0004148,1,Credit_card,1,1999.66,No,Premium Value,Single Payment
ORD_0004156,1,Credit_card,12,912.51,Yes,High Value,Long Term EMI
ORD_0004163,2,Credit_card,6,62.57,Yes,Low Value,Medium Term EMI
ORD_0004175,1,Credit_card,3,2074.34,Yes,Premium Value,Short Term EMI
ORD_0004205,2,Voucher,3,39.71,Yes,Low Value,Short Term EMI
ORD_0004214,1,Debit_card,12,1779.55,Yes,Premium Value,Long Term EMI
ORD_0004222,1,Voucher,1,379.79,No,Medium Value,Single Payment
ORD_0004226,1,Credit_card,2,786.56,Yes,High Value,Short Term EMI
ORD_0004234,1,Voucher,12,2366.23,Yes,Premium Value,Long Term EMI
ORD_0004238,1,Debit_card,1,1754.19,No,Premium Value,Single Payment
ORD_0004248,1,Credit_card,1,1353.31,No,Premium Value,Single Payment
ORD_0004272,1,Debit_card,12,265.05,Yes,Medium Value,Long Term EMI
ORD_0004276,1,Boleto,2,1140.85,Yes,Premium Value,Short Term EMI
ORD_0004280,1,Voucher,2,2510.76,Yes,Premium Value,Short Term EMI
ORD_0004294,1,Credit_card,1,2298.27,No,Premium Value,Single Payment
ORD_0004297,2,Credit_card,1,50.37,No,Low Value,Single Payment
ORD_0004305,1,Voucher,1,2786.05,No,Premium Value,Single Payment
ORD_0004319,1,Credit_card,1,1420.22,No,Premium Value,Single Payment
ORD_0004322,1,Credit_card,1,2643.7,No,Premium Value,Single Payment
ORD_0004323,1,Credit_card,3,2531.21,Yes,Premium Value,Short Term EMI
ORD_0004334,1,Boleto,1,1139.76,No,Premium Value,Single Payment
ORD_0004336,1,Debit_card,1,109.69,No,Medium Value,Single Payment
ORD_0004341,1,Credit_card,2,392.03,Yes,Medium Value,Short Term EMI
ORD_0004349,1,Credit_card,1,2483.06,No,Premium Value,Single Payment
ORD_0004350,1,Debit_card,1,2076.43,No,Premium Value,Single Payment
ORD_0004377,1,Credit_card,12,1555.37,Yes,Premium Value,Long Term EMI
ORD_0004384,2,Credit_card,6,28.31,Yes,Low Value,Medium Term EMI
ORD_0004393,1,Credit_card,3,660.73,Yes,High Value,Short Term EMI
ORD_0004422,1,Debit_card,1,1311.07,No,Premium Value,Single Payment
ORD_0004425,1,Credit_card,6,2667.84,Yes,Premium Value,Medium Term EMI
ORD_0004444,1,Boleto,2,2408.77,Yes,Premium Value,Short Term EMI
ORD_0004451,1,Credit_card,1,380.47,No,Medium Value,Single Payment
ORD_0004490,1,Credit_card,12,2645.27,Yes,Premium Value,Long Term EMI
ORD_0004528,2,Credit_card,6,77.87,Yes,Low Value,Medium Term EMI
ORD_0004570,1,Debit_card,3,1975.82,Yes,Premium Value,Short Term EMI
ORD_0004623,2,Credit_card,1,34.27,No,Low Value,Single Payment
ORD_0004626,1,Voucher,6,2092.08,Yes,Premium Value,Medium Term EMI
ORD_0004632,1,Credit_card,12,1633.7,Yes,Premium Value,Long Term EMI
ORD_0004648,1,Credit_card,1,1394.4,No,Premium Value,Single Payment
ORD_0004650,1,Debit_card,3,1758.57,Yes,Premium Value,Short Term EMI
ORD_0004662,1,Credit_card,12,2197.01,Yes,Premium Value,Long Term EMI
ORD_0004742,1,Voucher,12,104.86,Yes,Medium Value,Long Term EMI
ORD_0004770,1,Credit_card,2,2336.13,Yes,Premium Value,Short Term EMI
ORD_0004773,1,Boleto,1,2443.26,No,Premium Value,Single Payment
ORD_0004774,1,Credit_card,6,424.45,Yes,Medium Value,Medium Term EMI
ORD_0004802,1,Debit_card,2,1086.7,Yes,Premium Value,Short Term EMI
ORD_0004834,1,Credit_card,3,1819.01,Yes,Premium Value,Short Term EMI
ORD_0004844,1,Credit_card,1,1164.15,No,Premium Value,Single Payment
ORD_0004861,1,Boleto,1,1471.33,No,Premium Value,Single Payment
ORD_0004909,1,Voucher,3,1208.26,Yes,Premium Value,Short Term EMI
ORD_0004927,1,Voucher,1,1799.25,No,Premium Value,Single Payment
ORD_0004934,2,Debit_card,1,98.78,No,Low Value,Single Payment
ORD_0004939,1,Voucher,12,1720.88,Yes,Premium Value,Long Term EMI
ORD_0004960,1,Debit_card,3,1058.87,Yes,Premium Value,Short Term EMI
ORD_0004978,1,Credit_card,3,977.36,Yes,High Value,Short Term EMI
ORD_0004995,1,Debit_card,6,784.67,Yes,High Value,Medium Term EMI
ORD_0004999,1,Credit_card,3,197.17,Yes,Medium Value,Short Term EMI
ORD_0005021,1,Credit_card,12,2000.16,Yes,Premium Value,Long Term EMI
ORD_0005022,1,Credit_card,1,1418.26,No,Premium Value,Single Payment
ORD_0005026,1,Debit_card,3,1746.71,Yes,Premium Value,Short Term EMI
ORD_0005030,1,Voucher,1,768.57,No,High Value,Single Payment
ORD_0005039,1,Credit_card,12,1491.36,Yes,Premium Value,Long Term EMI
ORD_0005042,1,Debit_card,1,353.52,No,Medium Value,Single Payment
ORD_0005063,1,Voucher,1,2745.8,No,Premium Value,Single Payment
ORD_0005104,1,Boleto,1,276.23,No,Medium Value,Single Payment
ORD_0005112,1,Boleto,1,2743.8,No,Premium Value,Single Payment
ORD_0005113,1,Debit_card,6,623.2,Yes,High Value,Medium Term EMI
ORD_0005116,1,Debit_card,6,2270.43,Yes,Premium Value,Medium Term EMI
ORD_0005119,1,Credit_card,3,102.35,Yes,Medium Value,Short Term EMI
ORD_0005137,1,Credit_card,2,135.11,Yes,Medium Value,Short Term EMI
ORD_0005155,1,Credit_card,1,2677.53,No,Premium Value,Single Payment
ORD_0005157,2,Voucher,1,34.67,No,Low Value,Single Payment
ORD_0005168,1,Boleto,2,521.36,Yes,High Value,Short Term EMI
ORD_0005171,1,Debit_card,1,1055.77,No,Premium Value,Single Payment
ORD_0005219,1,Debit_card,1,1106.93,No,Premium Value,Single Payment
