order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_0000041,1,credit_card,1,438.96
ORD_0000041,2,credit_card,1,24.6
ORD_0000042,1,voucher,1,1546.31
ORD_0000043,1,credit_card,1,2416.57
ORD_0000044,1,credit_card,1,193.24
ORD_0000045,1,boleto,1,632.09
ORD_0000046,1,credit_card,2,2051.77
ORD_0000047,1,credit_card,2,1418.97
ORD_0000048,1,debit_card,1,136.2
ORD_0000049,1,credit_card,6,195.18
ORD_0000050,1,debit_card,1,2195.74
ORD_0000051,1,credit_card,12,192.69
ORD_0000052,1,credit_card,2,163.33
ORD_0000052,2,credit_card,1,61.25
ORD_0000053,1,credit_card,1,1343.52
ORD_0000054,1,credit_card,2,2670.46
ORD_0000055,1,credit_card,6,2838.5
ORD_0000056,1,credit_card,12,2129.72
ORD_0000057,1,voucher,12,1209.31
ORD_0000057,2,credit_card,6,91.53
ORD_0000058,1,boleto,1,242.46
ORD_0000059,1,voucher,3,409.33
ORD_0000060,1,credit_card,3,864.11
ORD_0000061,1,boleto,12,2055.32
ORD_0000061,2,voucher,1,98.95
ORD_0000062,1,credit_card,6,929.95
ORD_0000062,2,voucher,12,70.65
ORD_0000063,1,credit_card,2,1985.58
ORD_0000063,2,voucher,3,74.58
ORD_0000064,1,credit_card,12,1107.78
ORD_0000065,1,credit_card,12,644.7
ORD_0000066,1,boleto,1,2590.57
ORD_0000067,1,credit_card,6,2750.18
ORD_0000068,1,credit_card,1,1967.4
ORD_0000068,2,voucher,2,29.72
ORD_0000069,1,credit_card,3,1304.25
ORD_0000070,1,boleto,1,959.88
ORD_0000071,1,credit_card,6,2113.69
ORD_0000072,1,voucher,1,657.81
ORD_0000072,2,boleto,3,40.57
ORD_0000073,1,credit_card,2,1825.83
ORD_0000074,1,debit_card,12,2744.24
ORD_0000075,1,credit_card,2,2709.38
ORD_0000076,1,credit_card,1,2524.57
ORD_0000077,1,debit_card,12,327
ORD_0000078,1,credit_card,6,1837.85
ORD_0000078,2,voucher,1,82.39
ORD_0000079,1,debit_card,3,1216.98
ORD_0000080,1,voucher,1,2198.87
ORD_0000081,1,credit_card,1,425.57
ORD_0000081,2,credit_card,6,80.69
ORD_0000082,1,credit_card,1,1440.58
ORD_0000083,1,boleto,1,560.06
ORD_0000084,1,credit_card,3,1061.15
ORD_0000085,1,debit_card,2,2125.4
ORD_0000086,1,credit_card,1,917.2
ORD_0000086,2,boleto,12,20.87
ORD_0000087,1,credit_card,12,2367.67
ORD_0000088,1,boleto,2,101.19
ORD_0000089,1,credit_card,1,1028.96
ORD_0000090,1,credit_card,1,2525.89
ORD_0000091,1,credit_card,1,1503.63
ORD_0000092,1,credit_card,2,2396.56
ORD_0000093,1,debit_card,1,120.96
ORD_0000094,1,credit_card,12,966.35
ORD_0000095,1,credit_card,12,538.35
ORD_0000096,1,credit_card,1,809.48
ORD_0000097,1,credit_card,3,2375.09
ORD_0000098,1,debit_card,3,531.17
ORD_0000099,1,credit_card,6,157.05
ORD_0000100,1,credit_card,6,1005.18
ORD_0000101,1,credit_card,1,1493.07
ORD_0000102,1,voucher,12,814.45
ORD_0000103,1,voucher,1,2083.67
ORD_0000104,1,credit_card,2,607.06
ORD_0000105,1,voucher,12,2744.77
ORD_0000106,1,credit_card,6,1912.63
ORD_0000107,1,voucher,12,2634.92
ORD_0000108,1,credit_card,2,1891.48
ORD_0000109,1,voucher,6,1093.38
ORD_0000110,1,credit_card,2,2009.04
ORD_0000111,1,voucher,12,614.39
ORD_0000111,2,credit_card,12,47.45
ORD_0000112,1,debit_card,6,2804.41
ORD_0000113,1,boleto,3,1239.51
ORD_0000114,1,boleto,1,2535.13
ORD_0000115,1,debit_card,2,287.12
ORD_0000116,1,credit_card,3,1831.41
ORD_0000117,1,debit_card,1,2208.97
ORD_0000118,1,credit_card,1,1156.75
ORD_0000119,1,voucher,1,535.68
ORD_0000120,1,credit_card,12,1203.92
ORD_0000121,1,credit_card,3,159.97
ORD_0000122,1,credit_card,6,1989.59
ORD_0000123,1,debit_card,1,2419.92
ORD_0000124,1,boleto,3,1599.99
ORD_0000125,1,voucher,6,2297.72
ORD_0000126,1,credit_card,1,1192.38
ORD_0000127,1,boleto,3,2539.57
ORD_0000128,1,voucher,1,1970.4
ORD_0000129,1,voucher,1,2128.25
ORD_0000130,1,credit_card,2,773.41
ORD_0000131,1,credit_card,1,2865.08
ORD_0000132,1,credit_card,1,2571.47
ORD_0000133,1,voucher,1,1138.45
ORD_0000134,1,boleto,1,754.39
ORD_0000135,1,debit_card,3,1559.35
ORD_0000136,1,credit_card,1,682.62
ORD_0000137,1,credit_card,1,1110.64
ORD_0000138,1,credit_card,1,2200.86
ORD_0000138,2,credit_card,2,51.12
ORD_0000139,1,debit_card,6,2910.99
ORD_0000140,1,credit_card,3,420.41
ORD_0000141,1,credit_card,1,867.08
ORD_0000142,1,credit_card,6,2975.46
ORD_0000143,1,boleto,2,2470.88
ORD_0000144,1,voucher,12,1023.46
ORD_0000145,1,credit_card,1,198.54
ORD_0000146,1,credit_card,1,1771.12
ORD_0000146,2,credit_card,6,55.73
ORD_0000147,1,boleto,3,643.92
ORD_0000147,2,credit_card,6,28.72
ORD_0000148,1,voucher,12,778.39
ORD_0000149,1,boleto,3,2879.68
ORD_0000150,1,debit_card,3,1962.72
ORD_0000151,1,credit_card,6,2614.72
ORD_0000152,1,credit_card,3,975.07
ORD_0000153,1,credit_card,6,369.75
ORD_0000154,1,credit_card,2,2631.91
ORD_0000155,1,credit_card,1,651.81
ORD_0000156,1,credit_card,1,1551.41
ORD_0000157,1,credit_card,6,2297.44
ORD_0000158,1,credit_card,1,82.61
ORD_0000158,2,credit_card,3,40.86
ORD_0000159,1,debit_card,3,1638.6
ORD_0000160,1,debit_card,3,2574.05
ORD_0000161,1,voucher,6,924.37
ORD_0000162,1,credit_card,6,1610.43
ORD_0000163,1,boleto,1,344.13
ORD_0000164,1,credit_card,6,1992.29
ORD_0000165,1,credit_card,1,860.36
ORD_0000166,1,credit_card,6,2128.6
ORD_0000167,1,debit_card,1,1666.03
ORD_0000168,1,voucher,1,2636.12
ORD_0000169,1,credit_card,6,146.74
ORD_0000170,1,voucher,12,908.25
ORD_0000171,1,debit_card,1,1914.77
ORD_0000172,1,debit_card,6,1246.59
ORD_0000173,1,credit_card,1,2225.22
ORD_0000174,1,credit_card,1,115.42
ORD_0000175,1,voucher,6,2358.19
ORD_0000175,2,credit_card,12,75.85
ORD_0000176,1,credit_card,1,2398.81
ORD_0000177,1,boleto,3,1505.24
ORD_0000178,1,debit_card,2,2238.16
ORD_0000179,1,credit_card,3,2057.02
ORD_0000180,1,credit_card,1,2069.18
ORD_0000181,1,credit_card,1,34.46
ORD_0000182,1,credit_card,1,1165.51
ORD_0000182,2,voucher,2,56.38
ORD_0000183,1,credit_card,3,751.96
ORD_0000184,1,credit_card,1,157.18
ORD_0000185,1,credit_card,6,399.58
ORD_0000186,1,debit_card,2,2085.22
ORD_0000187,1,boleto,6,1787.39
ORD_0000188,1,voucher,3,1836.41
ORD_0000189,1,voucher,12,2597.46
ORD_0000190,1,voucher,1,1232.04
ORD_0000191,1,credit_card,3,1803.11
ORD_0000191,2,debit_card,3,97.28
ORD_0000192,1,credit_card,2,1378.86
ORD_0000193,1,debit_card,1,655.79
ORD_0000194,1,voucher,6,363.37
ORD_0000195,1,credit_card,3,984.83
ORD_0000196,1,voucher,1,381.17
ORD_0000197,1,credit_card,1,180.6
ORD_0000198,1,boleto,6,401.27
ORD_0000199,1,voucher,2,471.9
ORD_0000199,2,credit_card,1,12.4
ORD_0000200,1,boleto,6,326.67
ORD_0000201,1,credit_card,1,54.37
ORD_0000202,1,voucher,1,391.28
ORD_0000203,1,credit_card,2,2358.61
ORD_0000203,2,credit_card,1,62.47
ORD_0000204,1,credit_card,2,683.61
ORD_0000205,1,credit_card,2,2365.13
ORD_0000206,1,credit_card,6,1483.78
ORD_0000207,1,voucher,1,111.51
ORD_0000208,1,credit_card,1,757.24
ORD_0000209,1,credit_card,6,495.78
ORD_0000209,2,credit_card,1,42.29
ORD_0000210,1,debit_card,1,2727.84
ORD_0000211,1,debit_card,2,2588.27
ORD_0000212,1,credit_card,1,2492.08
ORD_0000213,1,voucher,1,2835.37
ORD_0000214,1,voucher,2,1873.41
ORD_0000215,1,voucher,12,1461.89
ORD_0000216,1,credit_card,6,586.9
ORD_0000217,1,boleto,6,425.82
ORD_0000218,1,boleto,1,1954.53
ORD_0000219,1,voucher,12,830.99
ORD_0000220,1,debit_card,3,343.27
ORD_0000221,1,debit_card,1,1172.53
ORD_0000222,1,debit_card,6,2656.34
ORD_0000223,1,debit_card,1,450.84
ORD_0000223,2,debit_card,1,28.94
ORD_0000224,1,credit_card,1,1496.86
ORD_0000225,1,boleto,2,2893.14
ORD_0000226,1,debit_card,3,1772.46
ORD_0000227,1,voucher,6,1444.3
ORD_0000228,1,credit_card,2,1665.3
ORD_0000229,1,credit_card,6,1646.69
ORD_0000230,1,debit_card,1,264.01
ORD_0000231,1,credit_card,12,424.86
ORD_0000232,1,debit_card,6,2608.78
ORD_0000232,2,credit_card,1,40.05
ORD_0000233,1,boleto,1,1708.58
ORD_0000234,1,boleto,3,600.67
ORD_0000235,1,boleto,12,2334.75
ORD_0000236,1,credit_card,12,600.94
ORD_0000237,1,boleto,1,551.56
ORD_0000238,1,credit_card,3,1047.57
ORD_0000239,1,boleto,1,579.56
ORD_0000240,1,voucher,1,900.15
ORD_0000241,1,credit_card,6,490.8
ORD_0000241,2,debit_card,3,71.38
ORD_0000242,1,credit_card,1,962.54
ORD_0000243,1,credit_card,6,2951.14
ORD_0000244,1,credit_card,1,2252.32
ORD_0000245,1,debit_card,6,1939.32
ORD_0000246,1,voucher,2,2976.06
ORD_0000247,1,debit_card,3,752.13
ORD_0000248,1,boleto,12,1141.48
ORD_0000249,1,debit_card,1,290.05
ORD_0000250,1,debit_card,1,965.95
ORD_0000251,1,debit_card,2,2617.33
ORD_0000251,2,debit_card,3,29.86
ORD_0000252,1,credit_card,1,1571.64
ORD_0000253,1,credit_card,1,2582.94
ORD_0000254,1,debit_card,1,1223.4
ORD_0000254,2,debit_card,12,14.27
ORD_0000255,1,debit_card,1,1207.04
ORD_0000256,1,credit_card,1,2659.93
ORD_0000257,1,debit_card,1,2225.41
ORD_0000258,1,boleto,12,325.04
ORD_0000259,1,credit_card,1,1039.62
ORD_0000260,1,debit_card,2,350.81
ORD_0000261,1,boleto,3,2129.71
ORD_0000262,1,voucher,2,887.12
ORD_0000263,1,credit_card,12,1408.28
ORD_0000264,1,voucher,1,69.51
ORD_0000265,1,voucher,3,2016.44
ORD_0000266,1,credit_card,3,215.34
ORD_0000267,1,debit_card,3,2404.25
ORD_0000267,2,voucher,1,97.14
ORD_0000268,1,voucher,1,91.58
ORD_0000268,2,credit_card,1,81.27
ORD_0000269,1,credit_card,12,206.59
ORD_0000270,1,voucher,2,2812.39
ORD_0000271,1,boleto,1,2577.63
ORD_0000272,1,credit_card,12,1760.42
ORD_0000273,1,boleto,1,2755.77
ORD_0000274,1,boleto,3,1006.23
ORD_0000275,1,credit_card,1,2985.93
ORD_0000275,2,voucher,6,22.95
ORD_0000276,1,boleto,1,1604.6
ORD_0000277,1,credit_card,12,653.17
ORD_0000278,1,debit_card,1,1299.7
ORD_0000279,1,debit_card,3,1228.57
ORD_0000280,1,credit_card,3,976.35
ORD_0000280,2,credit_card,6,89
ORD_0000281,1,credit_card,2,1357.67
ORD_0000282,1,credit_card,2,304.42
ORD_0000283,1,voucher,12,1570.23
ORD_0000284,1,voucher,12,1303.93
ORD_0000284,2,credit_card,1,20.86
ORD_0000285,1,credit_card,1,2195.13
ORD_0000286,1,boleto,1,1052.25
ORD_0000286,2,boleto,2,67.44
ORD_0000287,1,credit_card,6,2936.03
ORD_0000287,2,debit_card,12,89.82
ORD_0000288,1,voucher,12,1729.51
ORD_0000289,1,voucher,6,111.15
ORD_0000290,1,debit_card,6,2911.33
ORD_0000291,1,credit_card,12,2463.42
ORD_0000292,1,voucher,1,1243.66
ORD_0000293,1,credit_card,12,658.51
ORD_0000294,1,boleto,2,2194.69
ORD_0000295,1,credit_card,1,1229.48
ORD_0000296,1,credit_card,1,2148
ORD_0000297,1,voucher,1,1170.35
ORD_0000297,2,credit_card,1,18.81
ORD_0000298,1,debit_card,1,782.8
ORD_0000299,1,boleto,3,1375.83
ORD_0000300,1,voucher,1,426.87
ORD_0000301,1,voucher,6,1932.82
ORD_0000302,1,voucher,2,880.9
ORD_0000302,2,boleto,2,67.21
ORD_0000303,1,debit_card,1,1568.91
ORD_0000304,1,credit_card,3,1008.22
ORD_0000305,1,credit_card,1,368.04
ORD_0000306,1,credit_card,3,1302.4
ORD_0000307,1,credit_card,6,2330.86
ORD_0000308,1,boleto,3,2244.16
ORD_0000309,1,debit_card,12,2067.25
ORD_0000310,1,voucher,12,1712.87
ORD_0000311,1,boleto,1,472.71
ORD_0000312,1,credit_card,1,2136.51
ORD_0000313,1,voucher,1,2750.39
ORD_0000314,1,credit_card,1,2449.86
ORD_0000315,1,credit_card,1,882.88
ORD_0000316,1,credit_card,6,2388.06
ORD_0000317,1,voucher,12,194.27
ORD_0000317,2,voucher,6,92.64
ORD_0000318,1,boleto,1,978.82
ORD_0000319,1,boleto,1,1250.38
ORD_0000320,1,boleto,12,1902.13
ORD_0000321,1,credit_card,1,931.06
ORD_0000322,1,credit_card,1,1677.2
ORD_0000323,1,voucher,1,1403.86
ORD_0000323,2,debit_card,1,96.57
ORD_0000324,1,debit_card,1,407.89
ORD_0000325,1,debit_card,6,2739.21
ORD_0000326,1,boleto,1,224.65
ORD_0000327,1,credit_card,1,1337.26
ORD_0000328,1,credit_card,2,1554.26
ORD_0000329,1,boleto,3,2393.34
ORD_0000330,1,boleto,3,2213.25
ORD_0000331,1,boleto,1,1831.62
ORD_0000332,1,credit_card,3,2994.88
ORD_0000333,1,credit_card,3,1997.81
ORD_0000334,1,credit_card,6,2941.43
ORD_0000335,1,voucher,3,502.65
ORD_0000336,1,credit_card,1,2608.91
ORD_0000337,1,boleto,3,2075.28
ORD_0000338,1,boleto,12,463.37
ORD_0000338,2,credit_card,1,78.68
ORD_0000339,1,boleto,2,1226.37
ORD_0000340,1,credit_card,1,709.78
ORD_0000341,1,credit_card,6,2671.54
ORD_0000342,1,credit_card,6,1274.86
ORD_0000343,1,debit_card,1,58.81
ORD_0000344,1,boleto,1,1708.19
ORD_0000345,1,debit_card,2,360.49
ORD_0000346,1,voucher,3,1797.46
ORD_0000347,1,voucher,6,2441.8
ORD_0000347,2,voucher,2,60.92
ORD_0000348,1,credit_card,1,804.45
ORD_0000349,1,debit_card,1,1422.94
ORD_0000350,1,credit_card,1,2948.02
ORD_0000351,1,boleto,6,212.44
ORD_0000351,2,boleto,3,62.45
ORD_0000352,1,debit_card,12,210.65
ORD_0000353,1,credit_card,6,1763.32
ORD_0000354,1,debit_card,1,1545.7
ORD_0000355,1,debit_card,12,542.56
ORD_0000356,1,voucher,1,638.8
ORD_0000357,1,credit_card,1,1460.24
ORD_0000358,1,voucher,3,1111.15
ORD_0000359,1,credit_card,6,1739.46
ORD_0000360,1,credit_card,12,2805.69
ORD_0000361,1,credit_card,3,951.66
ORD_0000362,1,boleto,3,1901.02
ORD_0000363,1,debit_card,6,2202.91
ORD_0000364,1,debit_card,1,1813.62
ORD_0000365,1,boleto,1,2094.04
ORD_0000366,1,credit_card,12,1686.55
ORD_0000367,1,credit_card,1,2025
ORD_0000368,1,credit_card,3,2795.47
ORD_0000369,1,voucher,1,549.97
ORD_0000370,1,debit_card,1,892.42
ORD_0000371,1,credit_card,12,2661.07
ORD_0000372,1,credit_card,1,2789.48
ORD_0000373,1,boleto,1,1253.47
ORD_0000374,1,credit_card,2,1744.8
ORD_0000374,2,voucher,12,87.33
ORD_0000375,1,credit_card,1,2152.2
ORD_0000376,1,boleto,3,2959.54
ORD_0000377,1,credit_card,2,1130.89
ORD_0000377,2,boleto,2,87.29
ORD_0000378,1,credit_card,12,880.96
ORD_0000379,1,credit_card,12,718.27
ORD_0000380,1,boleto,2,601.99
ORD_0000381,1,credit_card,1,2184.77
ORD_0000382,1,boleto,1,906.2
ORD_0000383,1,boleto,12,2339.88
ORD_0000384,1,boleto,1,1353.47
ORD_0000385,1,credit_card,6,328.5
ORD_0000386,1,credit_card,1,1462.38
ORD_0000387,1,credit_card,12,2664.94
ORD_0000388,1,boleto,6,1855.01
ORD_0000389,1,credit_card,1,1176.48
ORD_0000389,2,credit_card,12,45.88
ORD_0000390,1,debit_card,1,2671.69
ORD_0000390,2,credit_card,1,96.02
ORD_0000391,1,debit_card,6,688.33
ORD_0000392,1,boleto,6,1363.27
ORD_0000393,1,credit_card,3,1041.46
ORD_0000394,1,credit_card,3,1068.48
ORD_0000395,1,boleto,1,1127.77
ORD_0000396,1,boleto,3,1262.56
ORD_0000396,2,boleto,1,83.7
ORD_0000397,1,credit_card,12,2794.08
ORD_0000398,1,voucher,2,2490.95
ORD_0000399,1,debit_card,1,1597.9
ORD_0000400,1,credit_card,1,868.38
ORD_0000401,1,debit_card,1,2926.57
ORD_0000402,1,credit_card,2,224.12
ORD_0000402,2,credit_card,1,10.68
ORD_0000403,1,boleto,1,2255.62
ORD_0000404,1,voucher,1,1994.27
ORD_0000405,1,credit_card,1,2545.34
ORD_0000406,1,credit_card,6,1062.56
ORD_0000407,1,voucher,2,2936.29
ORD_0000408,1,credit_card,3,955.34
ORD_0000408,2,credit_card,6,48.86
ORD_0000409,1,credit_card,3,2948.76
ORD_0000410,1,voucher,1,336.26
ORD_0000411,1,debit_card,12,1689.98
ORD_0000412,1,credit_card,1,912.97
ORD_0000413,1,credit_card,1,497.68
ORD_0000413,2,credit_card,1,53.51
ORD_0000414,1,credit_card,1,631.51
ORD_0000415,1,boleto,1,1043.51
ORD_0000416,1,debit_card,2,2521.53
ORD_0000417,1,voucher,1,2018.02
ORD_0000418,1,credit_card,1,1828.15
ORD_0000419,1,voucher,6,2919.18
ORD_0000420,1,boleto,1,338.14
ORD_0000421,1,boleto,12,1059.02
ORD_0000422,1,boleto,12,2986.31
ORD_0000423,1,credit_card,3,2016.97
ORD_0000424,1,voucher,1,866.55
ORD_0000425,1,credit_card,1,162.72
ORD_0000426,1,boleto,3,994.04
ORD_0000427,1,boleto,1,651.54
ORD_0000428,1,credit_card,12,2731.88
ORD_0000429,1,credit_card,3,256.48
ORD_0000430,1,credit_card,1,2709.82
ORD_0000431,1,boleto,6,2334.27
ORD_0000431,2,debit_card,2,41.7
ORD_0000432,1,credit_card,6,1762.88
ORD_0000433,1,credit_card,1,501.93
ORD_0000434,1,credit_card,6,244.11
ORD_0000435,1,voucher,1,1271.59
ORD_0000436,1,credit_card,1,710.26
ORD_0000437,1,credit_card,1,281
ORD_0000438,1,credit_card,2,671.52
ORD_0000439,1,credit_card,3,198.07
ORD_0000440,1,credit_card,6,650.8
ORD_0000441,1,debit_card,1,2276.11
ORD_0000442,1,credit_card,6,1520.61
ORD_0000442,2,voucher,12,41.01
ORD_0000443,1,voucher,1,1062.11
ORD_0000444,1,credit_card,1,2299.11
ORD_0000445,1,credit_card,12,1993.74
ORD_0000446,1,voucher,12,2568.36
ORD_0000447,1,credit_card,12,1742.59
ORD_0000448,1,credit_card,1,2101.98
ORD_0000449,1,voucher,2,2740.37
ORD_0000450,1,credit_card,12,2083.01
ORD_0000451,1,voucher,1,261.49
ORD_0000451,2,debit_card,12,41.5
ORD_0000452,1,debit_card,3,1374.07
ORD_0000453,1,credit_card,1,584.77
ORD_0000454,1,credit_card,3,1156.59
ORD_0000455,1,credit_card,6,115.96
ORD_0000456,1,debit_card,1,2518.06
ORD_0000457,1,credit_card,1,1383.54
ORD_0000458,1,credit_card,3,2585.21
ORD_0000459,1,credit_card,12,2088.57
ORD_0000460,1,credit_card,1,2082.35
ORD_0000461,1,credit_card,1,2927.4
ORD_0000462,1,boleto,2,2115.96
ORD_0000463,1,debit_card,6,1326.4
ORD_0000464,1,voucher,3,2253.21
ORD_0000465,1,boleto,1,2392.9
ORD_0000466,1,credit_card,12,705.35
ORD_0000467,1,credit_card,1,1765.34
ORD_0000468,1,credit_card,1,2238.31
ORD_0000469,1,voucher,12,912.32
ORD_0000470,1,voucher,3,1176.29
ORD_0000471,1,credit_card,1,779.7
ORD_0000472,1,debit_card,2,1994.65
ORD_0000472,2,credit_card,2,21.25
ORD_0000473,1,debit_card,1,2695.41
ORD_0000474,1,credit_card,3,61.19
ORD_0000475,1,credit_card,3,1791.08
ORD_0000476,1,boleto,1,2766.61
ORD_0000477,1,debit_card,1,496.33
ORD_0000477,2,boleto,12,68.49
ORD_0000478,1,credit_card,1,52.09
ORD_0000479,1,debit_card,1,2230.66
ORD_0000480,1,credit_card,6,1427.72
ORD_0000481,1,credit_card,3,686.6
ORD_0000482,1,credit_card,1,187.14
ORD_0000483,1,credit_card,12,937.35
ORD_0000484,1,debit_card,12,66.98
ORD_0000485,1,credit_card,1,1749.81
ORD_0000486,1,debit_card,6,424.68
ORD_0000487,1,credit_card,1,1224.69
ORD_0000488,1,debit_card,6,509.79
ORD_0000489,1,boleto,3,300.2
ORD_0000490,1,debit_card,1,1313.21
ORD_0000491,1,credit_card,6,1821.56
ORD_0000492,1,voucher,12,1692.4
ORD_0000493,1,debit_card,2,1674.59
ORD_0000494,1,credit_card,3,1876.61
ORD_0000495,1,debit_card,6,769.3
ORD_0000496,1,credit_card,12,2790.65
ORD_0000497,1,debit_card,1,745.45
ORD_0000498,1,credit_card,12,1153.6
ORD_0000499,1,credit_card,1,600.5
ORD_0000500,1,voucher,2,369.39
ORD_0000501,1,boleto,3,2253.76
ORD_0000502,1,debit_card,3,1930.16
ORD_0000502,2,boleto,2,12.88
ORD_0000503,1,voucher,6,2797.39
ORD_0000504,1,credit_card,1,1037.52
ORD_0000505,1,credit_card,3,1362.43
ORD_0000505,2,credit_card,2,17.14
ORD_0000506,1,debit_card,6,524.57
ORD_0000506,2,credit_card,1,20.04
ORD_0000507,1,voucher,1,2058.68
ORD_0000508,1,debit_card,6,2392.63
ORD_0000509,1,credit_card,1,2120.93
ORD_0000510,1,credit_card,1,513.71
ORD_0000510,2,credit_card,6,66.83
ORD_0000511,1,credit_card,1,1043.97
ORD_0000512,1,debit_card,2,1305.82
ORD_0000513,1,debit_card,12,1852.51
ORD_0000514,1,debit_card,6,596.8
ORD_0000515,1,voucher,6,2338.33
ORD_0000516,1,credit_card,1,2201.34
ORD_0000517,1,credit_card,1,804.6
ORD_0000517,2,credit_card,1,59.81
ORD_0000518,1,boleto,1,1895.83
ORD_0000519,1,boleto,3,258.5
ORD_0000520,1,boleto,2,1950.66
ORD_0000521,1,credit_card,1,886.77
ORD_0000522,1,credit_card,3,378.06
ORD_0000523,1,credit_card,6,733.34
ORD_0000524,1,credit_card,3,1238.38
ORD_0000525,1,debit_card,12,1283.74
ORD_0000526,1,voucher,12,765.24
ORD_0000527,1,boleto,1,341.26
ORD_0000528,1,debit_card,1,728.95
ORD_0000529,1,debit_card,12,970.68
ORD_0000530,1,debit_card,1,2728.97
ORD_0000531,1,voucher,2,2370.38
ORD_0000531,2,credit_card,3,43
ORD_0000532,1,credit_card,2,365.63
ORD_0000533,1,voucher,2,1865.45
ORD_0000534,1,debit_card,6,69.4
ORD_0000534,2,voucher,1,56.87
ORD_0000535,1,credit_card,1,1981.68
ORD_0000536,1,boleto,3,1901.15
ORD_0000536,2,credit_card,1,97.82
ORD_0000537,1,credit_card,3,2221.97
ORD_0000538,1,credit_card,1,1866.36
ORD_0000539,1,voucher,1,1853.3
ORD_0000540,1,boleto,1,2519.03
ORD_0000541,1,credit_card,12,2461.19
ORD_0000542,1,credit_card,1,1663.2
ORD_0000543,1,voucher,1,2827.83
ORD_0000544,1,debit_card,6,1307.84
ORD_0000545,1,boleto,1,2221.28
ORD_0000546,1,boleto,6,393.99
ORD_0000547,1,credit_card,3,1473.61
ORD_0000547,2,credit_card,3,57.17
ORD_0000548,1,debit_card,3,2781.68
ORD_0000549,1,boleto,1,2660.33
ORD_0000550,1,credit_card,12,1776.94
ORD_0000551,1,credit_card,1,1029.21
ORD_0000551,2,voucher,6,73.35
ORD_0000552,1,voucher,2,1090.6
ORD_0000553,1,voucher,2,2021.13
ORD_0000554,1,credit_card,1,2801.97
ORD_0000555,1,credit_card,3,2634.54
ORD_0000556,1,credit_card,1,62.96
ORD_0000557,1,credit_card,2,620.05
ORD_0000557,2,credit_card,6,67.42
ORD_0000558,1,credit_card,12,2314.92
ORD_0000559,1,credit_card,12,1382.79
ORD_0000559,2,credit_card,1,63.07
ORD_0000560,1,credit_card,3,2882.57
ORD_0000561,1,boleto,12,51.38
ORD_0000562,1,credit_card,1,2948.28
ORD_0000563,1,credit_card,6,836.5
ORD_0000564,1,boleto,12,2557.82
ORD_0000565,1,credit_card,1,875.29
ORD_0000566,1,credit_card,1,2797.21
ORD_0000567,1,boleto,1,876.27
ORD_0000568,1,credit_card,1,821.16
ORD_0000569,1,boleto,1,323.58
ORD_0000570,1,boleto,1,870.32
ORD_0000571,1,boleto,6,2051.09
ORD_0000571,2,debit_card,1,57.54
ORD_0000572,1,boleto,3,2506.71
ORD_0000573,1,credit_card,12,1375.18
ORD_0000573,2,debit_card,1,58.44
ORD_0000574,1,credit_card,2,1641.73
ORD_0000575,1,boleto,6,2683.74
ORD_0000576,1,credit_card,6,529.69
ORD_0000577,1,voucher,1,2512.93
ORD_0000577,2,voucher,2,88.93
ORD_0000578,1,credit_card,6,1244.18
ORD_0000579,1,boleto,3,356.09
ORD_0000580,1,credit_card,3,1617.21
ORD_0000581,1,credit_card,1,914.35
ORD_0000582,1,boleto,3,1716.77
